Aspect_Pair,Aspect1,Aspect2,Chi2_Statistic,P_Value,Degrees_of_Freedom,Cramers_V
Location#Transportation vs Location#Downtown,Location#Transportation,Location#Downtown,10903.797730287044,0.0,9,0.31405775352465926
Location#Transportation vs Location#Easy_to_find,Location#Transportation,Location#Easy_to_find,6217.367147451615,0.0,9,0.23715041204396903
Location#Transportation vs Service#Queue,Location#Transportation,Service#Queue,36.22017334650089,3.623371731276478e-05,9,0.018100721602668814
Location#Transportation vs Service#Hospitality,Location#Transportation,Service#Hospitality,412.7446279316729,2.6101813209368845e-83,9,0.06110283225628121
Location#Transportation vs Service#Parking,Location#Transportation,Service#Parking,981.7901550449895,1.455103623384299e-205,9,0.09423884679175748
Location#Transportation vs Service#Timely,Location#Transportation,Service#Timely,106.45255917422871,7.742269166896132e-19,9,0.031031207818166897
Location#Transportation vs Price#Level,Location#Transportation,Price#Level,128.3581788296279,2.5796708747179352e-23,9,0.03407472816205887
Location#Transportation vs Price#Cost_effective,Location#Transportation,Price#Cost_effective,63.47330361309553,2.8559268428208737e-10,9,0.02396162007592575
Location#Transportation vs Price#Discount,Location#Transportation,Price#Discount,88.90531462471014,2.699035559078008e-15,9,0.02835858049187827
Location#Transportation vs Ambience#Decoration,Location#Transportation,Ambience#Decoration,356.51255303494133,2.545999109944746e-71,9,0.056788191693603086
Location#Transportation vs Ambience#Noise,Location#Transportation,Ambience#Noise,99.75631963733257,1.7626009503057433e-17,9,0.030039371065264935
Location#Transportation vs Ambience#Space,Location#Transportation,Ambience#Space,260.8794423372133,5.020634772688212e-51,9,0.04857810343465588
Location#Transportation vs Ambience#Sanitary,Location#Transportation,Ambience#Sanitary,194.2161689219676,5.395313501886311e-37,9,0.04191440621566993
Location#Transportation vs Food#Portion,Location#Transportation,Food#Portion,102.14993942946433,5.7768819798848365e-18,9,0.030397627116660154
Location#Transportation vs Food#Taste,Location#Transportation,Food#Taste,437.45361437659517,1.3776551858428384e-88,9,0.06290521211498355
Location#Transportation vs Food#Appearance,Location#Transportation,Food#Appearance,110.63116325384142,1.0937380374423548e-19,9,0.03163438282751547
Location#Transportation vs Food#Recommend,Location#Transportation,Food#Recommend,57.400590377143,4.2350715776380175e-09,9,0.022786562088739894
Location#Downtown vs Location#Easy_to_find,Location#Downtown,Location#Easy_to_find,5671.42529647057,0.0,9,0.22649923239323014
Location#Downtown vs Service#Queue,Location#Downtown,Service#Queue,59.67215443006211,1.5505232622112905e-09,9,0.023233063829547828
Location#Downtown vs Service#Hospitality,Location#Downtown,Service#Hospitality,212.06023389422424,9.761115019288404e-41,9,0.04379759311101151
Location#Downtown vs Service#Parking,Location#Downtown,Service#Parking,117.57845926595117,4.180596254447956e-21,9,0.03261253130691784
Location#Downtown vs Service#Timely,Location#Downtown,Service#Timely,83.81577077803429,2.811430599981332e-14,9,0.027534899655390473
Location#Downtown vs Price#Level,Location#Downtown,Price#Level,18.830644634655638,0.02667201774987663,9,0.01305128340449121
Location#Downtown vs Price#Cost_effective,Location#Downtown,Price#Cost_effective,47.23977778645513,3.5409702035790585e-07,9,0.02067162174584745
Location#Downtown vs Price#Discount,Location#Downtown,Price#Discount,128.400722837451,2.52825973480237e-23,9,0.03408037468732029
Location#Downtown vs Ambience#Decoration,Location#Downtown,Ambience#Decoration,243.88374384627568,1.9487213789416517e-47,9,0.04696907995371592
Location#Downtown vs Ambience#Noise,Location#Downtown,Ambience#Noise,118.10094248988597,3.2689240369626703e-21,9,0.03268491111587993
Location#Downtown vs Ambience#Space,Location#Downtown,Ambience#Space,168.31211337355816,1.386322085904382e-31,9,0.03901919570430364
Location#Downtown vs Ambience#Sanitary,Location#Downtown,Ambience#Sanitary,173.14799024642502,1.3624199114894482e-32,9,0.03957576823570998
Location#Downtown vs Food#Portion,Location#Downtown,Food#Portion,22.911370873127193,0.006398463613268462,9,0.014396143408237812
Location#Downtown vs Food#Taste,Location#Downtown,Food#Taste,110.82627816575969,9.980986136214938e-20,9,0.0316622665655569
